分割タイプ１,分割タイプ２,分割タイプ３,品詞
俺,名詞,代名詞,一般,*,*,*,俺,オレ,オレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
生まれ,名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ
ヒップホップ,名詞,固有名詞,一般,*,*,*,HIPHOP,ヒップホップ,ヒップホップ
育ち,動詞,自立,*,*,五段・タ行,連用形,育つ,ソダチ,ソダチ
悪,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,悪い,ワル,ワル
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
奴,名詞,代名詞,一般,*,*,*,奴,ヤツ,ヤツ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
大体,名詞,副詞可能,*,*,*,*,大体,ダイタイ,ダイタイ
トモダチ,名詞,固有名詞,人名,一般,*,*,トモダチ,トモダチ,トモダチ
桜,名詞,一般,*,*,*,*,桜,サクラ,サクラ
舞い,動詞,自立,*,*,五段・ワ行促音便,連用形,舞う,マイ,マイ
散る,動詞,自立,*,*,五段・ラ行,基本形,散る,チル,チル
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
記憶,名詞,サ変接続,*,*,*,*,記憶,キオク,キオク
と,助詞,並立助詞,*,*,*,*,と,ト,ト
君の声,名詞,固有名詞,一般,*,*,*,君の声,キミノコエ,キミノコエ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
戻っ,動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
くる,動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
ダンス,名詞,サ変接続,*,*,*,*,ダンス,ダンス,ダンス
フロアー,名詞,一般,*,*,*,*,フロアー,フロアー,フロアー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
華やか,名詞,形容動詞語幹,*,*,*,*,華やか,ハナヤカ,ハナヤカ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
光,名詞,一般,*,*,*,*,光,ヒカリ,ヒカリ
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
そっと,副詞,一般,*,*,*,*,そっと,ソット,ソット
包む,動詞,自立,*,*,五段・マ行,基本形,包む,ツツム,ツツム
よ,名詞,非自立,助動詞語幹,*,*,*,よ,ヨ,ヨ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ハーモニー,名詞,一般,*,*,*,*,ハーモニー,ハーモニー,ハーモニー
じき,名詞,副詞可能,*,*,*,*,じき,ジキ,ジキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
いきり立っ,動詞,自立,*,*,五段・タ行,連用タ接続,いきり立つ,イキリタッ,イキリタッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
下,名詞,一般,*,*,*,*,下,シタ,シタ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
パッド,名詞,一般,*,*,*,*,パッド,パッド,パッド
見切り,名詞,一般,*,*,*,*,見切り,ミキリ,ミキリ
発車,名詞,サ変接続,*,*,*,*,発車,ハッシャ,ハッシャ
敵,名詞,一般,*,*,*,*,敵,テキ,テキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
まわす,動詞,自立,*,*,五段・サ行,基本形,まわす,マワス,マワス
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
の,助詞,連体化,*,*,*,*,の,ノ,ノ
モン,名詞,固有名詞,一般,*,*,*,モン,モン,モン
、,記号,読点,*,*,*,*,、,、,、
スジ,名詞,一般,*,*,*,*,スジ,スジ,スジ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
モン,名詞,固有名詞,一般,*,*,*,モン,モン,モン
、,記号,読点,*,*,*,*,、,、,、
黙れ,動詞,自立,*,*,五段・ラ行,命令ｅ,黙る,ダマレ,ダマレ
見せろ,動詞,自立,*,*,一段,命令ｒｏ,見せる,ミセロ,ミセロ
菊,名詞,一般,*,*,*,*,菊,キク,キク
の,助詞,連体化,*,*,*,*,の,ノ,ノ
門,名詞,一般,*,*,*,*,門,モン,モン
チェキラ,名詞,固有名詞,一般,*,*,*,チェキラ,チェキラ,チェキラ
フォトショップ,名詞,固有名詞,一般,*,*,*,Photoshop,フォトショップ,フォトショップ
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
全然,副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン
ちゃう,名詞,一般,*,*,*,*,茶宇,チャウ,チャウ
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
ないか,名詞,一般,*,*,*,*,内科,ナイカ,ナイカ
デブ,名詞,形容動詞語幹,*,*,*,*,デブ,デブ,デブ
と,助詞,並立助詞,*,*,*,*,と,ト,ト
ブス,名詞,一般,*,*,*,*,ブス,ブス,ブス
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
スキル,名詞,一般,*,*,*,*,スキル,スキル,スキル
ぐらい,助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ
磨い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,磨く,ミガイ,ミガイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
こい,動詞,非自立,*,*,カ変・クル,命令ｉ,くる,コイ,コイ
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
馬鹿,名詞,形容動詞語幹,*,*,*,*,馬鹿,バカ,バカ
！,記号,一般,*,*,*,*,！,！,！
！,記号,一般,*,*,*,*,！,！,！
倍速,名詞,一般,*,*,*,*,倍速,バイソク,バイソク
感染,名詞,サ変接続,*,*,*,*,感染,カンセン,カンセン
梅毒,名詞,一般,*,*,*,*,梅毒,バイドク,バイドク
で,助詞,格助詞,一般,*,*,*,で,デ,デ
金,名詞,一般,*,*,*,*,金,キン,キン
2倍,名詞,固有名詞,一般,*,*,*,2倍,ニバイ,ニバイ
飛ぶ,動詞,自立,*,*,五段・バ行,基本形,飛ぶ,トブ,トブ
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
バイト,名詞,一般,*,*,*,*,バイト,バイト,バイト
君,名詞,接尾,人名,*,*,*,君,クン,クン
便器,名詞,一般,*,*,*,*,便器,ベンキ,ベンキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
クソ,接頭詞,形容詞接続,*,*,*,*,クソ,クソ,クソ
文字,名詞,一般,*,*,*,*,文字,モジ,モジ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
かく,副詞,一般,*,*,*,*,かく,カク,カク
描く,動詞,自立,*,*,五段・カ行イ音便,基本形,描く,エガク,エガク
ジャカルタ,名詞,固有名詞,地域,一般,*,*,ジャカルタ,ジャカルタ,ジャカルタ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
便器,名詞,一般,*,*,*,*,便器,ベンキ,ベンキ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
○,記号,一般,*,*,*,*,○,○,○
タ,名詞,一般,*,*,*,*,*
と,助詞,格助詞,引用,*,*,*,と,ト,ト
書く,動詞,自立,*,*,五段・カ行イ音便,基本形,書く,カク,カク
ビーサン,名詞,固有名詞,一般,*,*,*,ビーサン,ビーサン,ビーサン
はく,名詞,一般,*,*,*,*,はく,ハク,ハク
ジー,名詞,一般,*,*,*,*,*
さん,名詞,接尾,人名,*,*,*,さん,サン,サン
大胆,名詞,形容動詞語幹,*,*,*,*,大胆,ダイタン,ダイタン
海パン,名詞,固有名詞,一般,*,*,*,海パン,カイパン,カイパン
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
と,助詞,格助詞,引用,*,*,*,と,ト,ト
言い,動詞,自立,*,*,五段・ワ行促音便,連用形,言う,イイ,イイ
たく,助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
｢,記号,一般,*,*,*,*,*
どれ,名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ
くらい,助詞,副助詞,*,*,*,*,くらい,クライ,クライ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
モレ,名詞,固有名詞,一般,*,*,*,モレ,モレ,モレ
具合い,名詞,一般,*,*,*,*,具合い,グアイ,グアイ
